Engine Speed,Vehicle Speed,Gear
1600.61,0.44,1.00
1921.10,0.97,1.00
2142.44,1.73,1.00
2283.78,2.65,1.00
2367.07,3.69,1.00
2411.60,4.78,1.00
2433.43,5.90,1.00
2444.71,7.00,1.00
2451.91,8.07,1.00
2463.50,9.11,1.00
2477.04,10.10,1.00
2494.39,11.06,1.00
2513.13,11.97,1.00
2534.82,12.85,1.00
2560.51,13.70,1.00
2587.31,14.52,1.00
2615.56,15.31,1.00
2647.83,16.08,1.00
2680.86,16.82,1.00
2713.46,17.55,1.00
2745.18,18.26,1.00
2779.57,18.95,1.00
2157.65,19.62,1.00
1979.12,19.70,2.00
1574.62,19.95,2.00
1340.48,20.04,2.00
1238.67,20.05,2.00
1157.65,20.04,2.00
1087.76,20.04,2.00
1075.48,20.03,2.00
1576.57,20.02,2.00
1983.89,20.11,2.00
2246.32,20.35,1.00
2735.51,20.44,1.00
2835.81,20.98,1.00
2893.39,21.57,1.00
2934.06,22.18,1.00
2972.27,22.77,1.00
3009.63,23.36,1.00
3031.62,23.93,1.00
2638.06,24.48,1.00
2434.66,24.58,2.00
1890.29,24.95,2.00
1684.13,25.06,2.00
1887.90,25.09,2.00
1932.96,25.20,2.00
2120.89,25.32,2.00
2192.20,25.52,2.00
2226.12,25.75,2.00
2243.39,25.99,2.00
2252.22,26.23,2.00
2259.05,26.48,2.00
2262.73,26.72,2.00
2268.89,26.95,2.00
2273.04,27.19,2.00
2279.58,27.42,2.00
2284.43,27.65,2.00
2287.86,27.88,2.00
2294.60,28.11,2.00
2299.58,28.33,2.00
2305.35,28.55,2.00
2311.13,28.77,2.00
2317.25,28.99,2.00
2325.20,29.21,2.00
2331.35,29.42,2.00
2338.12,29.63,2.00
2343.91,29.84,2.00
2349.65,30.04,2.00
2355.91,30.25,2.00
2361.20,30.45,2.00
2491.10,30.65,2.00
2577.44,30.91,2.00
2610.47,31.21,2.00
2667.59,31.52,2.00
2718.22,31.86,2.00
2743.07,32.21,2.00
2759.03,32.57,2.00
2770.58,32.92,2.00
2781.18,33.28,2.00
2705.95,33.63,2.00
2420.33,33.93,2.00
2226.95,34.06,3.00
1748.17,34.25,3.00
1513.48,34.30,3.00
1413.94,34.30,3.00
1333.40,34.29,3.00
1262.11,34.28,3.00
1194.17,34.27,3.00
1220.42,34.26,3.00
1243.83,34.24,3.00
1264.85,34.23,3.00
1281.88,34.22,3.00
1299.43,34.21,3.00
1313.90,34.20,3.00
1327.63,34.18,3.00
